,Unnamed: 0,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Predicted price
0,0,Maruti Alto K10 LXI CNG,Delhi,2014,40929,CNG,Manual,First,32.26 km/kg,998 CC,58.2 bhp,4.0,,3.1576666666666666
1,1,Maruti Alto 800 2016-2019 LXI,Coimbatore,2013,54493,Petrol,Manual,Second,24.7 kmpl,796 CC,47.3 bhp,5.0,,2.744333333333333
2,2,Toyota Innova Crysta Touring Sport 2.4 MT,Mumbai,2017,34000,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7.0,25.27 Lakh,17.03033333333333
3,3,Toyota Etios Liva GD,Hyderabad,2012,139000,Diesel,Manual,First,23.59 kmpl,1364 CC,null bhp,5.0,,5.156333333333333
4,4,Hyundai i20 Magna,Mumbai,2014,29000,Petrol,Manual,First,18.5 kmpl,1197 CC,82.85 bhp,5.0,,4.578333333333333
5,5,Mahindra XUV500 W8 2WD,Coimbatore,2016,85609,Diesel,Manual,Second,16.0 kmpl,2179 CC,140 bhp,7.0,,12.495666666666667
6,6,Toyota Fortuner 4x2 AT TRD Sportivo,Pune,2015,59000,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.7 bhp,7.0,,20.561666666666667
7,7,Hyundai EON Era Plus,Jaipur,2013,65000,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,,2.3449999999999998
8,8,Honda City 1.5 S MT,Mumbai,2011,66000,Petrol,Manual,Second,17.0 kmpl,1497 CC,118 bhp,5.0,,3.7520000000000007
9,9,Mahindra XUV500 W6 2WD,Coimbatore,2015,54684,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,,11.868333333333332
10,10,Audi Q5 2008-2012 2.0 TDI,Mumbai,2012,78000,Diesel,Automatic,Second,12.8 kmpl,1968 CC,167.6 bhp,5.0,,18.140666666666668
11,11,Hyundai Grand i10 Magna,Jaipur,2016,21000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,,5.078333333333333
12,12,Toyota Corolla H5,Chennai,2007,90000,Petrol,Manual,Third,13.4 kmpl,1794 CC,125 bhp,5.0,,2.329333333333333
13,13,Maruti Swift Vdi BSIII,Coimbatore,2008,87628,Diesel,Manual,First,17.8 kmpl,1248 CC,75 bhp,5.0,,2.645
14,14,Nissan Terrano XL,Mumbai,2014,45000,Petrol,Manual,First,13.24 kmpl,1598 CC,102.5 bhp,5.0,,5.281333333333333
15,15,BMW X1 sDrive20d,Coimbatore,2013,30788,Diesel,Automatic,First,17.05 kmpl,1995 CC,184 bhp,5.0,,23.469333333333335
16,16,BMW 3 Series GT 320d Luxury Line,Hyderabad,2015,39524,Diesel,Automatic,First,19.59 kmpl,1995 CC,184 bhp,5.0,,28.465
17,17,Ford Ikon 1.4 TDCi DuraTorq,Chennai,2009,140000,Diesel,Manual,First,13.8 kmpl,1399 CC,68 bhp,5.0,,2.2266666666666666
18,18,Maruti Swift AMT ZXI,Kochi,2019,15409,Petrol,Automatic,First,22.0 kmpl,1197 CC,81.80 bhp,5.0,,7.285000000000001
19,19,Maruti Swift Dzire VXi,Jaipur,2015,36502,Petrol,Manual,First,17.5 kmpl,1298 CC,85.8 bhp,5.0,,5.3790000000000004
20,20,Maruti Ritz LDi,Pune,2016,200000,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5.0,,4.378000000000001
21,21,Nissan Micra XV,Delhi,2010,70000,Petrol,Manual,First,18.06 kmpl,1198 CC,75 bhp,5.0,,2.427333333333334
22,22,Maruti Alto 800 2016-2019 LXI,Kochi,2017,36701,Petrol,Manual,First,24.7 kmpl,796 CC,47.3 bhp,5.0,,3.5070000000000006
